#Data tag : 23v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
362087:8398,11/15/22 13:07:32,145,145,64781106.239444293,61183666.974236675
362091:8398,11/15/22 14:07:33,1418,1418,526768098.560373425,502541593.347704351
362104:8399,11/16/22 02:17:50,115,115,43571001.325364970,41604006.971240081
362105:8399,11/16/22 03:07:18,179,179,77742813.313455760,74045968.397539720
362106:8399,11/16/22 04:21:10,78,78,33802059.421334758,32695903.942547586
362107:8399,11/16/22 04:54:57,785,785,333751206.576745629,317821646.148638070
362148:8401,11/16/22 14:18:54,720,720,307010119.593221724,292404123.870018661
362153:8401,11/16/22 19:05:40,140,140,61665269.676850796,57701631.595776796
362154:8401,11/16/22 20:04:32,784,784,279779539.911466002,268360462.276110321
362159:8402,11/17/22 03:22:26,7,7,1939350.226238467,1683844.647977793
362161:8402,11/17/22 03:36:51,120,120,51695672.525095306,49547035.576231003
362163:8402,11/17/22 04:27:43,65,65,28351060.998673394,26694256.305324882
362166:8402,11/17/22 04:55:09,331,331,144765673.297754079,139041278.522362709
362167:8402,11/17/22 07:08:33,646,646,269747100.669947803,258914423.617102087
362437:8456,11/21/22 12:53:12,31,31,11653266.772956725,9891467.714134185
362439:8456,11/21/22 14:08:41,1374,1374,535660501.531395614,512575635.453698218
362597:8471,11/23/22 22:16:30,139,139,60516702.654381625,58378242.257932186
362614:8474,11/24/22 07:40:41,153,153,70089736.512027100,65069820.195260324
362615:8474,11/24/22 08:43:24,149,149,72309660.156170562,67123635.013585821
362616:8474,11/24/22 09:45:49,351,351,171765843.503759921,160209144.058746308
362617:8474,11/24/22 12:07:16,244,244,115275525.817284852,109087093.727743089
362618:8474,11/24/22 13:44:46,274,274,109660977.084053352,101298349.239940509
362653:8484,11/25/22 08:53:12,266,266,109328655.120500639,103312880.604009911
362654:8484,11/25/22 10:39:59,26,26,11614017.849227753,10739168.234629646
362655:8484,11/25/22 11:00:15,333,333,149659847.862069488,142221639.588975966
362657:8484,11/25/22 13:32:35,198,198,84738289.807332546,81396135.088757336
362695:8489,11/26/22 01:41:34,334,334,138221407.038546383,130171243.060263932
362696:8489,11/26/22 03:52:11,1711,1711,617305349.229515672,592590940.369589090
362698:8489,11/26/22 15:10:14,374,374,84785229.932148501,81902604.537555769
362720:8491,11/26/22 23:59:02,898,898,377354977.145117402,360052003.821744859
